Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Honda,e:NS1,9100000,2022,Алматы,кроссовер,,автомат,,передний привод,слева,,Да
Genesis,GV80,32500000,2020,Алматы,кроссовер,3.0,автомат,42000.0,задний привод,слева,серый металлик,Да
Mercedes-Benz,E 200,1750000,1991,Алматы,седан,2.0,автомат,523652.0,задний привод,слева,серебристый,Да
Toyota,Caldina,2850000,1994,Алматы,универсал,2.0,автомат,414000.0,передний привод,слева,черный металлик,Да
Skoda,Octavia,7300000,2014,Алматы,лифтбек,1.6,автомат,,передний привод,слева,серебристый металлик,Да
Lexus,IS 250,7889000,2012,Алматы,седан,2.5,автомат,217928.0,задний привод,слева,белый,Да
BMW,728,3500000,2000,Алматы,седан,2.8,автомат,,задний привод,слева,,Да
Chevrolet,Silverado,31000000,2020,Алматы,пикап,5.3,автомат,36000.0,полный привод,слева,,Да
Kia,Sorento,28000000,2021,Алматы,кроссовер,2.5,автомат,31000.0,передний привод,слева,черный металлик,Да
Mercedes-Benz,E 300,1800000,1991,Алматы,седан,3.0,механика,,задний привод,слева,серый,Да
Hyundai,Elantra,11000000,2020,Алматы,седан,2.0,автомат,36000.0,передний привод,слева,белый,Да
Volkswagen,Jetta,7500000,2015,Алматы,седан,1.4,робот,69000.0,передний привод,слева,серебристый,Да
Mazda,626,2500000,1997,Алматы,седан,2.0,автомат,,передний привод,слева,,Да
Toyota,RAV 4,2950000,1995,Алматы,кроссовер,2.0,автомат,300000.0,полный привод,справа,зеленый,Да
BMW,530,6700000,2003,Алматы,седан,3.0,автомат,,задний привод,слева,серебристый металлик,Да
Hyundai,Elantra,8300000,2019,Алматы,седан,2.0,автомат,,передний привод,слева,серебристый металлик,Да
Renault,Arkana,8200000,2020,Алматы,кроссовер,1.6,вариатор,36000.0,передний привод,слева,белый,Да
ВАЗ (Lada),2109 (хэтчбек),400000,1988,Алматы,хэтчбек,1.5,механика,,передний привод,слева,белый,Да
Toyota,Camry,24000000,2023,Алматы,седан,3.5,автомат,4500.0,передний привод,слева,серый металлик,Да
Hyundai,Sonata,16000000,2022,Алматы,седан,2.5,автомат,85052.0,передний привод,слева,черный,Да
Audi,100,1300000,1993,Алматы,универсал,2.6,механика,300000.0,передний привод,слева,черный металлик,Да
Daewoo,Nexia,1250000,1995,Алматы,седан,1.5,механика,414000.0,передний привод,слева,зеленый,Да
Toyota,Camry,10900000,2014,Алматы,седан,2.5,автомат,225000.0,передний привод,слева,черный металлик,Да
Mercedes-Benz,E 230,900000,1991,Алматы,седан,2.3,механика,,задний привод,слева,,Да
Audi,A6,2350000,1995,Алматы,седан,2.6,механика,,передний привод,слева,черный металлик,Да
Volkswagen,Passat,6100000,2012,Алматы,седан,1.8,робот,250000.0,передний привод,слева,серый,Да
Mitsubishi,Xpander,12200000,2023,Алматы,кроссовер,1.5,автомат,,передний привод,слева,белый,Да
Lexus,GS 300,4800000,1998,Алматы,седан,3.0,автомат,,задний привод,слева,,Да
Mitsubishi,Galant,1999999,1992,Алматы,хэтчбек,2.0,механика,,передний привод,слева,белый металлик,Да
Toyota,Corolla,5000000,2007,Алматы,седан,1.6,механика,,передний привод,слева,серебристый,Да
ВАЗ (Lada),2115 (седан),1350000,2009,Алматы,седан,1.5,механика,218000.0,передний привод,слева,белый,Да
Hyundai,Avante,12500000,2022,Алматы,седан,1.6,автомат,4500.0,передний привод,слева,бордовый металлик,Да
SsangYong,Kyron,5800000,2011,Алматы,внедорожник,2.3,автомат,,полный привод,слева,серый металлик,Да
ГАЗ,ГАЗель,3600000,2004,Алматы,фургон,2.9,механика,,задний привод,слева,белый,Да
Hyundai,Accent,7500000,2019,Алматы,седан,1.6,автомат,72000.0,передний привод,слева,,Да
ВАЗ (Lada),Granta 2191 (лифтбек),2100000,2015,Шелек,лифтбек,1.6,механика,,передний привод,слева,,Да
Mitsubishi,Xpander,10990000,2023,Алматы,кроссовер,1.5,автомат,20.0,передний привод,слева,серый металлик,Да
ВАЗ (Lada),2114 (хэтчбек),450000,2005,Алматы,хэтчбек,1.5,механика,,передний привод,слева,серебристый,Нет
Audi,A8,2600000,1997,Есик,седан,2.8,автомат,,передний привод,слева,серебристый,Да
Land Rover,Range Rover Sport,6200000,2006,Алматы,внедорожник,2.7,автомат,,полный привод,слева,серый металлик,Да
Toyota,Windom,1500000,1993,Алматы,седан,3.0,автомат,,передний привод,слева,зеленый металлик,Да
Hyundai,Creta,8900000,2020,Есик,кроссовер,1.6,автомат,128000.0,передний привод,слева,синий,Да
Toyota,Land Cruiser,17500000,2008,Алматы,внедорожник,4.7,автомат,300000.0,полный привод,слева,серебристый металлик,Да
Toyota,Vellfire,7999999,2010,Алматы,минивэн,3.5,автомат,103000.0,передний привод,справа,черный металлик,Нет
Toyota,Scepter,2640000,1995,Алматы,седан,2.2,автомат,,передний привод,справа,синий металлик,Да
Toyota,Alphard,8700000,2005,Алматы,минивэн,3.0,автомат,,передний привод,слева,черный,Да
Kia,Morning,7900000,2021,Алматы,хэтчбек,1.0,автомат,,передний привод,слева,бежевый металлик,Да
Opel,Vectra,950000,1995,Алматы,седан,1.8,механика,,передний привод,слева,,Да
Lexus,RX 300,5300000,2000,Алматы,кроссовер,3.0,автомат,273603.0,полный привод,слева,бежевый металлик,Да
Volkswagen,Passat,3000000,2001,Алматы,седан,2.0,автомат,,передний привод,слева,серебристый металлик,Да
Mitsubishi,Pajero,2900000,1998,Алматы,внедорожник,2.8,механика,,полный привод,слева,,Да
Toyota,Camry,5200000,2006,Алматы,седан,2.4,автомат,,передний привод,слева,бордовый,Да
Renault,9,1000000,1989,Конаев (Капшагай),седан,1.4,механика,63000.0,передний привод,слева,белый,Да
Mercedes-Benz,E 320,2000000,1995,Отеген-Батыр,седан,3.2,автомат,450000.0,задний привод,слева,серебристый металлик,Да
Kia,Carens,7200000,2015,Алматы,минивэн,2.0,механика,20000.0,передний привод,слева,белый,Да
Mitsubishi,Outlander,17200000,2023,Алматы,кроссовер,2.5,вариатор,,передний привод,слева,белый металлик,Да
Mercedes-Benz,C 320,3500000,2000,Алматы,седан,3.2,автомат,405000.0,задний привод,слева,синий,Да
Mitsubishi,Outlander Sport,11800000,2022,Алматы,внедорожник,2.0,автомат,9010.0,полный привод,слева,серебристый металлик,Да
Toyota,Corolla,800000,1994,Алматы,лифтбек,1.3,механика,,передний привод,слева,зеленый металлик,Да
Mercedes-Benz,S 420,1900000,1994,Алматы,седан,4.2,автомат,235096.0,задний привод,слева,синий,Да
Toyota,Carina E,2250000,1995,Алматы,лифтбек,1.6,механика,,передний привод,слева,вишня,Да
Nissan,Qashqai,13350000,2021,Алматы,кроссовер,2.0,вариатор,18000.0,полный привод,слева,,Да
